interest_rate,unemployment_rate,inflation_rate,gdp_growth_rate,labor_force_participation_rate,consumer_confidence_index,government_debt_to_gdp_ratio,exchange_rate,stock_market_index,housing_price_index,manufacturing_pmi,services_pmi,retail_sales_growth_rate,business_confidence_index,wage_growth_rate,exports_volume,imports_volume,government_revenue,government_spending,business_startups_rate,consumer_spending,investment_rate,savings_rate,tax_revenue,interest_coverage_ratio,bankruptcies_rate,business_closures_rate,consumer_debt_to_income_ratio,government_deficit_to_gdp_ratio
5.71,3.99,4.62,2.76,70.76,170.1,20.03,0.9264,22101.42,322.95,12.6,42.84,18.63,162.02,7.94,256935,14490,671115322,611867456,1.59,413859.82,89.0,52.01,31080960,84.83,9.86,7.85,90.96,8.26
2.01,14.38,0.38,-2.68,87.27,112.48,8.69,2.4143,2724.04,104.55,22.71,23.28,1.36,53.08,8.49,135617,982783,404068494,905733651,54.93,344339.89,62.76,21.29,40135188,63.99,0.17,6.44,286.68,1.76
5.19,8.06,3.01,1.25,83.55,188.0,182.28,2.7107,38582.41,112.51,99.08,13.1,-18.41,153.32,8.31,166142,547435,579782090,36374742,55.08,276791.64,80.08,99.01,18539761,86.64,5.63,4.23,496.98,3.74
5.28,19.19,4.72,2.92,3.35,184.67,155.9,2.1766,22085.31,284.86,14.35,18.4,-11.4,124.29,6.88,436607,792636,473574127,469512867,73.52,560434.1,11.82,3.99,96889016,8.65,5.39,6.95,149.67,0.77
8.03,15.37,-0.36,-7.15,48.23,128.35,194.79,2.5791,19403.6,240.1,53.43,70.13,13.23,106.43,1.98,228822,682310,553789158,589441513,40.26,243657.55,18.84,23.7,93825698,63.47,2.96,2.77,306.35,5.84
6.89,4.4,-0.64,-7.2,20.55,113.29,39.05,2.5698,277.63,139.53,36.74,92.5,10.56,85.25,1.34,95617,382186,322094826,979843021,48.44,906528.97,48.97,96.93,16864157,91.7,7.75,6.34,349.43,5.67
9.83,19.0,-4.66,-7.69,45.41,124.58,112.91,1.9191,35672.95,117.37,22.6,35.34,12.01,123.03,7.81,118581,701845,391560742,465298653,19.29,396933.91,25.5,74.86,52728018,63.94,8.11,9.67,3.46,5.25
4.83,17.4,3.46,-0.66,90.61,117.28,173.89,2.4809,42503.08,130.17,68.69,24.19,-16.15,10.32,0.42,710552,273554,18578753,611782856,60.87,479822.53,12.18,83.79,45855517,96.03,0.67,6.33,55.82,3.74
3.25,8.82,3.56,-3.36,62.04,176.28,27.71,0.9493,38880.62,442.02,84.33,68.71,18.57,168.94,4.67,909676,358765,224055143,147300721,98.23,778424.94,6.17,76.81,50378436,50.39,0.31,1.35,276.19,0.93
9.24,18.33,-4.07,-2.77,8.04,129.06,98.94,0.0386,5414.91,163.51,62.42,3.66,19.6,184.59,5.06,904240,942492,929505431,623626109,90.49,172401.09,61.63,64.46,24921774,91.6,6.3,2.04,14.64,7.51
4.23,2.32,1.96,0.38,3.33,112.11,64.75,1.2246,48718.88,83.93,50.53,40.86,16.48,133.88,1.8,450122,539149,993689134,908540905,42.47,498384.08,55.83,18.11,77052752,25.79,0.82,0.63,350.5,5.14
4.18,7.81,-0.21,-8.98,35.21,152.77,107.33,2.6298,19967.67,261.85,77.4,97.03,9.85,90.99,1.21,699967,260300,630110787,88214913,17.43,794056.67,28.82,44.51,60043975,6.02,5.74,8.63,51.15,3.21
2.25,0.75,-4.28,0.37,30.98,56.84,73.91,1.9035,19123.84,241.43,90.79,2.31,16.92,32.05,9.4,338939,992233,417872024,888591409,1.41,495442.52,91.7,66.97,22461606,19.87,4.07,0.4,303.85,8.5
8.01,15.91,-1.29,-4.95,48.36,19.09,193.52,1.8326,27703.22,486.91,66.07,32.5,11.27,149.92,0.39,668868,578824,508536563,787294578,2.77,958210.13,26.55,15.8,11987608,2.92,8.25,5.02,433.09,3.54
7.76,16.78,2.97,-2.85,33.21,71.03,18.24,1.0074,11361.97,335.21,20.19,47.46,-1.37,178.28,0.15,495769,810265,495985833,929081820,10.76,468947.98,14.62,75.14,60041913,93.47,3.62,1.21,183.08,7.16
2.89,1.97,0.8,-1.76,48.5,128.07,84.73,0.5416,14305.4,223.68,26.27,62.01,-18.73,76.35,8.58,94776,52836,415141320,95497052,78.03,893122.06,45.56,43.81,95203544,16.68,9.32,7.66,272.52,0.19
5.78,8.85,-0.61,-6.98,49.1,123.61,81.76,1.9783,3850.84,228.29,34.76,22.65,14.39,100.38,8.02,623095,178757,203724989,136156497,51.73,987615.41,17.17,75.04,94661409,78.13,1.25,1.5,34.0,2.64
6.34,13.9,-2.24,0.51,65.67,199.18,64.36,1.3797,25176.0,118.04,48.82,34.32,18.23,151.01,9.1,844649,141854,451425590,186009903,41.72,870979.62,12.52,92.12,44768790,75.79,5.58,1.82,16.33,4.74
8.96,12.58,-2.48,7.85,57.22,83.43,36.8,2.2204,15947.81,379.84,42.52,52.36,14.14,120.65,0.38,45737,33515,632181744,22242994,76.63,607305.98,86.59,6.84,87021909,35.62,5.47,8.37,468.86,8.09
7.79,10.31,-0.72,-1.2,29.61,97.14,199.15,0.4384,25245.81,499.11,48.35,47.22,14.57,52.35,1.64,522359,310534,836351364,423928954,99.39,222501.0,63.85,18.93,2625296,16.94,8.27,8.49,73.87,4.05
8.77,15.37,2.18,-1.96,69.99,159.01,106.43,1.3448,26851.94,496.6,8.77,18.64,-18.36,165.71,8.25,973215,360716,531582945,381270170,64.16,948265.82,45.8,51.95,12080305,94.46,1.85,3.13,466.53,0.02
4.91,4.02,-4.31,7.88,97.28,50.99,190.71,0.8289,11202.45,202.55,35.38,95.71,1.22,182.14,7.31,266802,495758,674839315,861092152,24.33,591023.06,29.17,41.58,79728239,39.96,4.88,9.03,491.07,7.44
4.18,10.32,-2.87,-2.33,76.68,89.03,97.47,2.2908,44860.73,491.68,16.06,43.49,16.88,137.73,9.29,407686,320974,144752380,650434306,50.52,342329.57,66.32,57.37,42873333,99.82,3.09,7.98,301.0,0.77
0.06,8.86,-4.41,-6.14,62.11,123.69,86.79,2.9162,46109.38,90.19,51.55,26.73,-6.23,129.18,2.22,338526,617483,641621793,717621993,59.59,431786.2,78.31,2.65,35980479,79.78,6.39,0.82,325.76,5.74
7.95,0.44,1.77,-8.98,57.12,128.33,185.43,1.0652,29073.09,205.2,95.12,51.03,-8.74,123.72,5.62,174984,373287,898944181,36772373,14.32,339769.78,76.89,48.14,13969736,96.17,3.23,5.22,108.47,8.59
1.01,11.62,-4.97,-6.9,69.49,133.47,11.02,0.8301,22787.13,56.17,16.17,16.64,10.87,39.34,9.38,654400,744126,175199332,899982743,20.07,380470.96,87.17,87.7,3920436,29.51,4.84,0.59,476.77,8.15
0.54,3.37,3.37,-1.26,36.43,156.39,78.41,0.0159,26720.41,206.14,61.84,75.79,2.39,176.3,6.88,301933,485057,195727939,131425060,65.95,225175.94,80.14,37.91,88323054,32.73,9.92,5.32,373.52,4.8
7.02,4.77,1.3,9.15,0.93,195.28,50.79,1.3796,8090.64,406.96,23.06,1.96,-10.82,30.07,2.99,602345,719582,8333862,247184262,3.11,321215.41,41.55,95.65,45287435,2.95,8.14,7.79,218.85,2.18
4.07,0.9,-2.7,1.85,66.97,5.53,197.77,1.7478,19189.4,362.99,21.73,81.01,17.27,185.32,7.82,719143,401044,287776775,873482896,64.01,233009.37,64.96,51.22,18744499,76.01,9.76,6.87,489.09,2.86
2.85,17.01,-2.0,1.8,57.58,105.73,115.42,2.6716,42817.13,313.1,9.63,71.82,3.62,7.31,8.77,300673,690563,672977866,567466623,31.12,810976.39,92.92,54.94,64500383,6.93,4.52,6.14,129.72,1.23
0.36,13.04,2.23,-7.78,51.91,86.83,43.05,2.1027,42511.39,67.09,94.54,24.92,-14.44,196.61,3.54,963267,377760,134186855,200017162,8.97,12641.15,42.76,99.22,85147624,12.05,8.93,8.39,237.34,3.91
8.97,9.69,4.1,-0.7,81.25,60.88,72.59,2.762,16678.88,118.03,31.04,86.18,-9.11,72.33,2.7,687090,480166,703778635,655897490,65.84,173338.53,58.56,50.66,95162006,90.59,9.28,0.09,390.62,4.27
9.52,3.29,-3.66,6.84,4.5,31.36,27.36,1.9618,36490.34,162.28,47.11,50.15,12.6,21.59,4.3,340823,366724,699931861,311019312,85.67,373405.68,81.14,25.84,80999768,28.13,5.1,2.03,421.24,7.46
5.46,3.43,1.34,6.89,24.06,184.73,118.76,2.0623,14343.29,470.87,95.61,31.93,2.2,154.16,6.65,702038,999290,480600997,440730493,27.87,882454.85,24.1,2.04,49936215,45.39,4.58,2.96,406.09,9.79
0.1,11.83,-4.32,4.32,28.79,50.02,38.07,0.6037,10245.92,121.19,98.49,71.85,14.51,138.41,8.1,331550,405442,985241984,234379792,81.0,956991.28,92.71,91.72,36371824,64.34,6.0,5.04,25.28,4.55
9.93,17.59,4.76,-9.03,84.42,144.45,130.43,2.0355,40428.44,183.24,73.92,37.58,-9.82,97.11,7.49,838062,499845,430988682,67145065,59.89,251405.41,79.69,69.85,98028678,17.49,3.58,5.46,91.78,3.17
3.59,8.33,-2.37,-0.87,70.38,122.16,23.17,1.1749,35500.77,272.2,81.14,22.93,10.19,153.2,2.9,296136,501543,955206727,747805278,17.35,842031.06,13.0,99.23,79010815,92.69,2.01,7.27,481.09,9.86
4.86,11.45,4.99,3.23,12.56,93.0,111.13,1.6006,23350.04,446.78,4.07,39.4,11.95,162.79,2.77,374665,48547,679054119,534600356,1.45,854430.41,24.68,16.04,35376324,59.23,5.06,4.74,191.37,1.81
7.53,15.47,-0.98,-6.48,95.48,29.59,63.82,2.6603,29055.57,63.29,66.91,84.27,14.74,6.72,8.71,664153,858410,619370143,426211592,43.14,413517.38,5.2,3.57,12261699,15.75,1.5,3.8,356.14,5.0
2.96,8.79,-2.06,-9.2,80.56,91.29,72.72,1.0114,21344.43,136.65,76.06,71.25,-8.64,18.68,5.87,140775,114427,220257376,4576921,78.27,598279.52,57.12,14.94,78871367,14.72,3.01,5.7,215.54,9.18
2.93,18.25,-1.51,0.2,1.31,130.99,171.5,0.0942,8574.93,287.24,18.39,50.69,-4.82,186.44,5.03,740731,448227,469123368,503739720,77.5,165380.72,9.41,39.02,27198934,43.44,8.02,6.91,23.95,1.41
5.32,15.33,3.04,-7.34,98.51,47.3,165.74,2.8169,5069.07,479.29,21.26,62.35,6.46,87.19,7.75,471865,926628,807516989,584974034,0.7,831466.12,70.85,13.16,25235979,70.18,0.5,6.68,204.81,4.05
2.86,4.44,1.52,3.25,19.22,149.42,138.69,1.6596,9880.65,162.26,37.93,41.12,19.23,51.04,2.78,81421,288809,233728034,880149347,54.78,485772.19,95.08,11.94,80850345,21.11,9.3,6.1,101.22,0.25
5.38,4.86,-3.25,-4.6,51.17,112.11,12.0,2.8557,40543.35,484.71,60.35,82.1,-10.67,157.45,5.96,887487,373855,354531213,816962272,92.6,286203.77,22.53,6.95,15298609,75.42,3.81,4.78,155.7,0.64
8.89,14.33,-2.66,3.17,25.53,123.47,108.68,1.3896,36023.78,190.8,99.14,71.06,2.88,99.18,7.09,597528,782370,928206336,636106504,57.4,705823.39,21.08,69.69,69449540,98.9,4.59,6.16,199.22,3.25
1.89,17.45,-1.41,8.34,57.46,0.73,83.8,1.1681,20498.97,297.24,66.35,79.61,-10.36,83.74,5.49,844173,312728,853958732,838088154,81.34,960236.73,2.58,7.43,53858398,43.28,2.48,5.31,35.83,4.85
6.87,4.79,-3.07,6.47,71.51,34.79,185.59,1.6128,37476.83,252.75,81.9,35.56,8.45,22.69,8.9,244045,48615,300516865,919270691,84.85,478360.62,89.98,78.86,65998637,96.8,1.86,3.55,111.73,5.81
8.36,3.39,0.35,7.37,16.89,34.64,145.34,1.913,22014.11,156.09,10.06,92.74,18.88,188.64,4.7,759083,69767,784157757,780233452,14.49,640479.18,5.04,80.88,92926138,0.51,6.86,9.7,69.16,4.63
4.57,11.48,0.13,1.97,0.22,136.12,131.15,2.5152,12435.24,124.47,15.27,73.55,-18.83,191.47,7.43,999533,617965,781525360,606397106,18.51,274546.48,73.83,69.28,22669472,84.17,0.48,3.17,294.1,1.7
2.94,18.72,-1.87,1.73,58.03,109.64,147.67,2.664,29078.27,294.49,46.9,46.54,-0.48,86.69,7.56,45507,889128,52328270,348814559,72.92,627840.89,93.45,23.55,28984102,35.22,0.52,7.91,34.82,4.26
3.31,17.26,-4.53,-8.57,47.5,35.04,70.43,1.3749,34039.53,159.08,94.93,12.22,12.48,115.47,4.82,265956,644764,593538483,364524739,0.3,354735.28,6.26,3.2,10513807,93.16,5.93,7.63,113.19,2.33
5.5,12.5,-1.85,3.78,90.3,78.81,127.82,2.9555,1203.57,366.28,45.43,75.79,-6.13,72.09,4.99,815692,482859,723018423,817749656,60.64,993714.02,98.85,49.56,60615125,81.6,5.96,0.33,397.48,6.34
6.95,7.2,1.12,-5.09,15.77,126.88,176.72,2.5293,27060.49,406.67,94.39,94.71,12.71,150.73,2.0,94349,855276,481841527,283885233,74.55,537388.59,52.95,25.63,30988826,52.68,2.67,2.24,64.04,5.93
9.44,6.46,-4.0,-6.85,1.27,31.22,87.17,1.6825,1924.68,140.36,50.04,44.1,7.94,153.11,5.15,580658,936347,595562977,632954686,17.95,384868.98,3.29,69.56,66653199,7.09,6.19,8.9,389.55,4.93
1.94,12.89,-1.84,5.01,66.0,63.67,116.02,1.9835,28525.53,452.4,58.78,87.93,-10.41,147.66,0.83,17464,191704,109218975,818346129,73.32,589733.54,21.54,97.33,97577734,67.32,5.32,6.46,25.69,5.62
1.05,17.64,-3.21,6.82,51.79,103.42,89.64,0.9872,6477.42,52.74,93.79,15.7,-10.4,94.08,6.4,4725,520698,494167502,166625162,81.24,460526.25,26.8,70.16,59539255,7.88,5.76,1.57,481.81,4.51
8.74,17.3,0.31,-7.16,19.86,80.98,10.93,2.2616,37618.87,471.94,16.0,10.26,-10.79,49.33,1.08,737580,447541,551806892,302934920,39.41,627657.65,3.47,98.85,3175855,12.66,4.17,4.73,405.87,5.84
2.42,15.96,-2.71,1.85,62.18,32.38,84.13,1.4165,47902.7,254.04,65.72,16.34,0.47,12.98,0.62,84514,613471,674958093,910358814,19.03,671659.78,52.66,11.61,26167974,53.3,9.96,2.24,496.34,1.51
1.85,4.39,0.88,-9.21,78.33,119.7,96.17,0.0722,42785.26,163.02,43.6,64.88,0.4,38.75,4.68,240804,897649,255183811,862356567,2.9,267005.94,38.6,38.98,61189329,19.42,3.7,5.13,60.25,7.71
9.43,19.57,-3.18,-0.01,2.24,193.51,9.24,2.8988,46542.43,335.04,73.89,11.42,12.27,99.75,8.42,19128,190990,754072873,436261775,31.52,637408.42,37.24,44.76,75310973,32.63,6.76,4.65,199.41,7.44
8.37,4.51,1.78,-8.74,96.72,148.15,184.65,1.63,29287.46,393.48,1.61,10.57,4.75,29.11,0.45,288492,447677,61394638,63605878,19.12,521203.68,29.08,2.63,15129759,66.26,3.59,1.15,154.15,1.29
9.82,11.59,1.2,-4.01,23.69,109.71,35.95,2.6118,8563.25,208.67,20.63,50.87,15.42,133.68,3.47,468163,842615,391040716,506757042,62.81,596023.29,84.31,66.32,89471415,68.59,2.43,1.79,23.03,4.01
0.76,14.35,3.72,5.02,5.48,50.7,197.27,2.6091,15496.6,464.13,85.03,97.34,-18.57,191.52,9.09,193480,3196,33275461,250493017,71.61,194591.41,35.51,77.22,39770962,48.41,9.46,4.63,457.29,7.19
6.58,19.08,4.97,-1.28,71.76,15.75,108.6,0.34,23563.95,217.49,85.73,88.47,2.6,118.6,8.76,702746,424471,65080558,431644501,67.27,564272.79,94.26,34.68,46036891,40.02,0.05,0.62,421.92,2.06
3.36,6.08,-2.37,6.0,57.69,48.89,137.96,1.7769,33400.87,462.63,36.27,2.11,18.57,183.68,7.51,879013,496271,18560078,874906651,40.31,223597.65,69.57,14.48,73550468,35.48,8.13,8.54,294.76,1.32
9.05,14.26,-2.93,6.62,71.91,31.12,139.59,1.0951,284.06,393.1,73.87,56.68,18.06,49.94,7.02,35981,768192,496369769,729148660,44.8,737.5,3.08,11.22,55375293,32.19,5.39,2.84,55.1,7.47
0.81,16.92,4.5,-2.33,15.52,59.29,188.95,0.4537,39716.15,122.24,97.88,83.67,-1.03,167.44,3.78,842567,654883,651679033,333903249,48.9,793403.2,17.86,92.8,88976255,53.08,9.93,2.82,47.79,5.91
4.97,11.78,-4.22,-5.62,90.03,22.69,163.5,2.2686,31736.35,231.38,85.03,71.35,-13.65,25.13,6.08,584075,618272,394910134,396606208,89.78,902553.41,33.35,79.05,49488513,9.99,1.17,7.98,317.85,9.24
4.5,13.84,3.7,8.12,81.71,63.74,96.16,0.4662,49820.96,253.24,93.63,84.19,9.56,88.24,0.73,382271,323849,656688002,453153735,92.09,472997.82,55.47,78.51,9596880,40.47,9.06,6.48,496.94,7.5
1.92,5.1,2.39,5.3,46.97,162.62,172.68,1.6036,39212.22,151.95,37.75,67.36,2.93,69.34,2.27,574269,276803,139557103,170489050,22.52,714419.94,20.09,65.51,51143171,30.95,0.74,3.86,466.81,5.84
1.65,13.72,-1.01,-8.14,47.52,2.23,118.45,2.0469,17114.44,366.07,12.98,80.72,-17.64,103.38,1.63,384285,564900,13525484,647999227,44.38,393245.96,22.37,13.56,75730101,43.9,2.06,5.46,86.91,3.91
1.35,16.2,-3.08,-9.38,29.29,136.35,106.69,1.1339,21040.46,445.71,53.66,51.5,-2.26,179.53,6.38,498142,344393,119869976,585502258,53.56,987123.62,78.8,26.06,35953847,92.17,6.47,8.89,148.39,0.85
0.16,15.28,-1.46,6.52,43.4,23.87,132.32,0.2192,48097.81,305.44,9.16,51.18,-10.71,86.01,5.12,97546,375135,350254020,209358590,19.79,376377.96,86.65,30.71,62537429,40.87,0.68,1.08,301.66,2.42
5.17,1.89,-2.77,-9.28,85.16,66.32,40.42,0.8245,48947.98,70.14,13.85,22.12,-5.57,95.47,4.1,512407,238484,100378346,949002962,43.53,9881.71,86.14,28.16,57686633,37.52,5.45,0.65,339.39,1.52
9.63,12.06,-2.9,-2.42,76.38,35.36,167.49,0.3193,36133.31,374.78,44.36,58.42,-9.57,199.53,4.37,324964,838412,352669591,463199867,19.51,847950.84,66.63,32.47,48919731,89.8,7.92,0.9,283.66,4.79
8.6,17.52,4.43,-9.41,0.7,111.14,29.35,1.1873,37719.07,479.83,61.41,35.43,-5.41,31.03,0.35,514164,553237,437971908,957392848,46.21,750053.44,15.46,85.46,9038000,27.61,0.17,1.73,403.17,5.62
5.99,7.7,3.79,9.56,39.56,109.9,99.24,1.9463,5815.2,220.01,10.2,2.28,14.71,134.18,6.74,535394,573153,908653798,388008293,1.92,367484.2,95.65,56.72,24424129,89.21,2.64,0.15,114.15,8.01
4.71,12.02,-0.29,3.4,11.49,109.39,118.52,1.1911,35766.24,447.9,93.86,13.24,15.77,193.97,8.74,188259,150464,680178868,293989253,74.33,867864.02,4.74,10.96,37035148,23.55,0.53,1.65,49.0,9.09
9.06,11.24,3.54,2.65,14.27,131.54,50.65,0.8031,26041.11,407.74,67.03,77.2,5.82,104.68,9.03,988222,401214,789725227,352918560,57.43,417755.27,44.62,43.33,45827043,26.11,3.46,9.05,276.23,9.1
3.54,18.33,1.64,-2.27,62.31,177.01,17.14,0.345,36941.94,323.94,83.78,5.72,-16.9,9.37,4.71,958878,282988,124714262,257262694,63.72,790732.9,24.4,71.18,37170855,33.5,6.39,3.65,396.21,5.7
9.33,1.44,-0.45,9.81,0.08,79.15,167.45,0.9127,4238.96,344.2,11.87,54.06,-5.71,198.1,8.17,570504,190802,570303135,980450397,12.06,312440.42,18.14,33.61,29770542,25.31,0.42,9.96,232.43,3.88
1.33,6.94,-4.39,-3.92,90.73,56.25,12.98,0.0191,17863.07,134.39,63.56,43.41,-2.56,26.64,6.11,689076,162247,288091876,508234956,81.57,768896.49,88.57,60.8,25969813,42.99,5.28,5.59,183.06,6.12
3.53,2.28,2.95,-9.55,96.6,3.49,13.53,2.1891,9550.67,238.69,4.96,46.21,-12.74,184.21,3.19,169208,637478,899083798,65327218,95.34,941358.29,49.37,54.07,77338535,40.76,7.55,6.13,173.51,5.79
5.93,15.62,4.19,0.7,41.57,7.74,73.65,1.3317,16818.45,95.8,48.84,89.75,-2.43,159.38,4.76,757058,726106,990691179,586993382,55.69,921522.36,44.35,63.51,83036947,67.47,4.26,0.33,119.52,9.07
0.57,12.03,-4.38,-3.61,92.61,165.1,65.86,2.4572,16093.17,485.04,11.13,58.42,-8.15,25.04,3.78,601167,111431,837205643,533372759,85.74,928803.59,89.75,10.13,41805974,4.28,4.96,6.99,388.2,5.14
8.38,19.45,0.51,5.16,94.95,145.63,138.25,2.4344,24184.11,380.05,68.26,25.15,8.88,46.51,0.57,526220,610221,532793746,176826070,73.11,733563.53,4.44,37.01,51391527,37.55,4.88,6.77,296.79,1.12
0.45,4.46,3.52,-3.0,40.92,79.8,118.16,0.1267,19722.83,170.17,97.7,56.12,17.41,196.12,4.09,904541,389027,788290763,801610127,6.51,256812.11,51.31,98.25,27047556,66.77,6.65,1.64,336.74,5.91
5.01,9.5,4.54,-9.17,41.61,0.05,148.59,1.4781,21175.87,461.58,91.65,59.99,17.89,129.5,6.9,950514,790766,530344659,580940979,67.61,471117.05,19.62,31.33,10118063,83.69,2.63,2.76,167.64,7.1
1.85,1.23,4.54,-4.11,25.22,72.52,120.18,0.0593,34575.08,167.9,5.51,44.82,-17.48,108.53,7.53,883460,826841,718383785,597437762,75.51,344633.22,2.44,79.96,97281245,46.44,9.37,8.39,210.3,8.19
1.88,3.41,-0.96,-6.77,36.9,91.39,197.05,2.8348,46561.42,431.2,92.73,41.67,-0.76,161.44,0.95,195477,747115,240997404,115421644,56.68,106046.93,85.74,47.23,87319422,25.21,8.2,5.05,53.48,8.81
8.41,6.04,-2.61,2.55,5.77,171.94,64.89,1.1019,5776.53,77.61,76.42,61.17,-11.08,54.6,5.36,139100,567768,659075998,455071330,51.24,438787.01,86.66,37.94,42426134,95.13,0.1,8.8,306.48,7.01
0.02,0.27,-3.74,5.01,85.28,22.46,52.62,2.623,15175.76,247.88,81.82,82.65,-12.59,78.51,8.21,873785,844954,323874530,719761200,26.8,962601.2,80.93,18.24,42805731,98.73,5.21,5.88,375.02,8.35
1.63,4.56,-3.19,-3.0,60.73,98.36,61.56,2.7639,21370.73,276.28,3.33,28.8,7.04,72.21,0.63,172230,346754,689938518,731708923,86.48,959256.78,46.44,28.68,76762933,24.45,9.73,3.61,383.27,0.92
9.37,13.93,3.52,8.5,8.54,94.96,194.54,1.6644,49665.79,381.71,45.46,70.44,17.19,59.77,8.89,387498,847749,97345370,117428500,34.22,387698.79,8.65,20.96,6618508,30.37,6.67,0.98,462.52,2.09
2.15,11.6,-3.04,0.51,14.06,26.98,116.6,1.4365,34138.43,68.04,37.62,57.27,-5.63,119.21,2.54,940149,679326,666782372,20547890,24.31,758895.09,1.79,17.52,96457615,37.09,2.42,4.67,266.43,7.43
6.27,8.48,1.68,5.67,36.79,38.66,197.19,0.216,16507.46,327.51,14.36,95.94,-9.47,159.69,7.22,608890,571460,727429821,903067359,35.35,397180.16,86.12,10.2,2394452,11.4,5.8,1.46,36.66,7.41
4.84,7.37,0.24,-9.77,52.05,104.66,35.33,1.6811,33826.92,255.79,77.33,75.18,13.17,150.03,6.02,583250,310029,128523271,880127819,21.28,728088.1,86.86,49.07,19357539,88.81,3.03,1.24,122.12,8.88
0.71,17.45,3.6,7.75,18.34,121.76,57.11,1.2605,31604.61,220.38,79.65,52.43,0.67,166.49,8.58,344403,754482,275111664,770058005,78.2,843054.01,17.22,31.53,20212697,29.63,0.16,8.6,462.93,9.47
4.89,16.7,1.57,-7.91,22.66,12.73,90.61,1.6687,2192.02,159.2,58.55,89.6,9.57,51.39,2.0,563803,405493,525319594,704371572,88.07,91274.02,94.62,54.01,84807767,82.68,1.78,1.17,51.84,9.84
4.49,17.46,-2.93,-5.09,15.96,179.32,186.88,0.7496,3238.99,133.87,27.7,7.45,-4.82,160.24,3.35,64372,636442,292774037,949224178,29.98,389699.14,29.33,44.9,9322601,59.83,8.53,1.14,274.34,8.14
4.78,3.75,-4.82,8.88,18.13,53.32,116.12,0.8888,1849.92,356.96,87.25,82.8,9.0,173.75,6.71,947716,716599,869438163,995976282,51.54,153630.39,28.86,95.59,13010059,91.15,7.72,8.83,482.63,8.99
8.13,11.86,-4.31,4.28,4.63,115.63,14.59,2.605,15539.95,441.84,23.95,17.58,17.13,147.97,0.25,94601,100755,428640389,744110709,56.39,520790.31,28.32,77.78,97984060,98.19,2.6,2.82,32.48,6.59
4.41,13.19,3.45,4.69,54.51,116.55,125.74,1.8373,8335.6,213.64,84.25,42.57,-0.91,133.02,5.92,983914,917813,313323652,235917051,59.66,872478.14,72.82,25.72,272116,46.37,0.42,9.7,34.06,2.19
9.9,15.29,2.2,8.79,61.26,156.01,33.86,0.2778,12159.06,131.44,13.0,37.23,-17.49,181.12,1.26,543570,429282,11278205,476415917,96.2,81289.81,46.49,50.85,38655825,99.85,7.53,2.79,286.55,7.54
3.44,6.56,1.97,-0.03,58.04,96.6,1.93,2.5871,7531.12,109.7,29.51,12.67,-6.28,165.01,9.56,230709,786758,871638666,810466460,20.38,129048.8,92.91,26.17,75961440,85.71,0.19,9.72,14.38,1.62
6.7,12.04,-3.67,-1.56,2.0,98.99,16.57,1.3966,18708.2,253.97,30.78,87.83,-14.52,158.08,2.36,894564,140875,916970766,243129536,42.87,504276.25,85.49,48.98,31109479,91.93,7.78,3.43,411.9,2.72
6.06,6.03,4.82,-4.13,36.76,117.27,164.35,0.6895,16901.41,100.2,57.45,71.41,1.2,95.3,1.65,526874,439353,851325429,107521662,13.29,861013.92,60.65,50.11,44832732,32.98,4.89,9.35,202.38,1.62
9.56,13.32,4.9,-8.65,87.85,172.88,129.88,0.6079,2728.29,415.33,57.17,25.27,-16.4,113.62,4.73,914330,275825,797283183,114956449,21.58,501909.59,17.51,93.61,16067770,90.52,0.28,0.35,349.6,6.63
7.59,10.32,2.17,9.05,33.04,48.95,27.51,2.5312,28893.23,409.09,49.83,74.99,14.87,114.61,2.38,206496,47141,671996777,334862857,22.78,430666.2,69.45,58.66,11464132,90.29,3.66,9.19,388.4,6.73
5.56,10.77,-3.99,1.11,30.86,65.37,89.75,1.3551,10982.51,177.72,17.14,97.72,3.05,51.25,8.54,399566,389124,962069557,801213012,5.98,714186.7,87.56,62.83,44544096,18.9,0.76,7.61,278.83,2.42
5.32,2.05,4.8,3.18,34.54,184.82,157.5,1.0569,20851.44,119.82,87.21,98.85,4.88,182.9,5.46,53878,555788,342196104,953069195,67.93,479218.07,10.98,2.24,59714883,50.97,4.45,5.28,337.55,5.5
5.62,19.19,2.95,4.16,92.62,165.24,135.71,0.0555,26736.25,419.33,60.86,40.1,9.83,10.84,4.29,323275,463439,925905316,570910925,13.98,910266.17,20.35,2.82,99117203,87.4,4.05,3.75,138.63,4.54
7.63,0.34,-4.44,0.79,25.17,126.75,178.89,2.6919,40292.62,372.4,53.24,69.76,-7.65,102.01,6.21,247182,465691,420511792,788930302,59.07,84446.18,16.24,37.32,43898859,98.16,3.66,3.57,56.43,0.37
7.41,7.46,-4.48,-4.71,68.62,36.21,108.02,1.2267,7166.57,89.99,5.54,19.88,4.2,38.05,5.57,841516,696379,543429876,80341831,14.95,199593.32,35.54,2.51,28604291,1.56,7.33,6.56,303.02,0.1
5.51,13.23,-2.3,-0.03,52.03,63.89,186.81,0.5698,36963.76,285.97,39.39,49.72,-14.94,126.58,4.51,718837,515618,294446678,277488703,61.86,14309.57,9.22,8.38,62736665,85.22,3.88,8.79,354.67,3.87
7.07,7.0,3.38,-4.5,76.48,120.94,197.9,2.849,42728.92,123.76,29.19,78.91,18.25,59.54,6.62,767213,479990,171567067,143101550,20.17,18680.92,7.1,2.71,57215066,37.33,3.54,3.49,107.94,8.49
